Index,id,created_at,favorite_count,retweet_count,user,user_followers_count,retweeted_user
0,1.57042E+18,15/09/2022 14:43,0,0,quartzvale_,132,
1,1.57041E+18,15/09/2022 14:05,2,1,nimbussablelive,491,
2,1.5704E+18,15/09/2022 13:13,0,3,onyxwharfco,4785,onyxanvilpro
3,1.5704E+18,15/09/2022 13:01,41,5,onyxanvilpro,651536,
4,1.57039E+18,15/09/2022 12:35,0,0,solaryakplus65,12,
5,1.57037E+18,15/09/2022 11:20,0,0,harborshorelive,91,
6,1.57037E+18,15/09/2022 11:01,0,0,umberknoll360,1192,
7,1.57035E+18,15/09/2022 9:33,0,0,pixelpier,1925,
8,1.57034E+18,15/09/2022 8:59,0,5,prismgrovetv74,28762,swiftwrenlive
9,1.57034E+18,15/09/2022 8:53,5,4,swiftwrenlive,4908,
10,1.57032E+18,15/09/2022 8:00,0,1,crispfoxnet91,111,quietfalconhq30
11,1.57032E+18,15/09/2022 7:47,0,0,lunargroveplus,54,
12,1.57032E+18,15/09/2022 7:39,2,0,umberdell_,3923,
13,1.57031E+18,15/09/2022 7:01,0,0,vividquayx,3177,
14,1.57027E+18,15/09/2022 4:40,0,0,atlassable,2360,prismhollow360
15,1.57026E+18,15/09/2022 4:13,0,0,lunardriftlive,45343,
16,1.57024E+18,15/09/2022 2:55,0,0,quartzvale_,140,
17,1.57024E+18,15/09/2022 2:48,0,0,quartzvale_,148,
18,1.57024E+18,15/09/2022 2:39,0,0,quartzvale_,146,
19,1.57019E+18,14/09/2022 22:59,0,0,ridgeternx32,8,ridgeternx32
20,1.57016E+18,14/09/2022 21:36,0,13,zenithheron,4634,dunemartennow
21,1.57014E+18,14/09/2022 19:49,0,0,frosttern360,2531,
22,1.57013E+18,14/09/2022 19:37,0,0,tundratrailco,59,
23,1.57012E+18,14/09/2022 18:46,0,1,tundrabaylab,408,pixelternone
24,1.57009E+18,14/09/2022 16:52,0,0,duneheronio,185,
25,1.57009E+18,14/09/2022 16:20,0,0,frostdriftdaily,891,amberdellnow
26,1.57006E+18,14/09/2022 14:51,0,0,quartzvale_,134,
27,1.57006E+18,14/09/2022 14:48,0,0,quartzvale_,133,
28,1.57006E+18,14/09/2022 14:39,0,0,quartzvale_,123,
29,1.57005E+18,14/09/2022 14:13,0,1,crispquay36091,356,pixelternone
30,1.57005E+18,14/09/2022 14:04,1,3,pixelternone,791,
31,1.57005E+18,14/09/2022 13:52,0,2,sableospreylive,0,willowforgelab73
32,1.57004E+18,14/09/2022 13:31,0,12,tundrashore24,1839,dunemartennow
33,1.57004E+18,14/09/2022 13:23,0,16,willowospreyio,35245,dunemartennow
34,1.57004E+18,14/09/2022 13:12,0,2,mesadrift,3,harborfalcontv
35,1.57004E+18,14/09/2022 13:11,0,0,orbitvoleau23,2565,
36,1.57003E+18,14/09/2022 12:31,0,0,embersableio,259,dunezephyrlab
37,1.57002E+18,14/09/2022 12:21,2,2,dunezephyrlab,8,
38,1.57002E+18,14/09/2022 12:11,0,1,ridgeternx32,9,
39,1.57001E+18,14/09/2022 11:19,0,0,ivoryheronone,208,pixelzephyr
40,1.57E+18,14/09/2022 10:57,0,4,vividgrovedaily,1713,amberdellnet
41,1.56998E+18,14/09/2022 9:26,0,2,ivoryledgedaily58,59,
42,1.56997E+18,14/09/2022 8:24,0,0,jadefoxx,41,
43,1.56993E+18,14/09/2022 6:02,2,0,urbannookplus43,484,
44,1.56993E+18,14/09/2022 5:53,0,0,amberbayau,7452,
45,1.56993E+18,14/09/2022 5:52,0,0,frosttern360,2615,
46,1.56992E+18,14/09/2022 5:40,0,0,quartzyard_71,0,
47,1.56988E+18,14/09/2022 2:29,0,0,lunarvaleau,8450,
48,1.56984E+18,14/09/2022 0:17,0,0,bravebaylive,0,
49,1.56984E+18,14/09/2022 0:00,0,0,glidenook,853,
50,1.56982E+18,13/09/2022 22:57,0,2,ridgeternx32,9,
51,1.56979E+18,13/09/2022 20:47,0,0,bravemartenco,4183,
52,1.56974E+18,13/09/2022 17:16,0,13,zenithfalconau85,23949,dunemartennow
53,1.56972E+18,13/09/2022 16:00,0,3,lunarvaleone,4,pixelternone
54,1.56971E+18,13/09/2022 15:37,0,0,novayakdaily10,0,
55,1.5697E+18,13/09/2022 15:10,0,0,ivoryyaknow,17241,
56,1.5697E+18,13/09/2022 14:55,0,0,ridgeternx32,7,ridgeternx32
57,1.5697E+18,13/09/2022 14:50,0,0,quartzvale_,135,
58,1.5697E+18,13/09/2022 14:46,0,0,ridgeternx32,7,ridgeternx32
59,1.56969E+18,13/09/2022 14:29,0,0,quartzvale_,129,
60,1.56969E+18,13/09/2022 14:25,0,0,onyxdrift24,764,
61,1.56967E+18,13/09/2022 12:32,0,0,cedarfoxtv,2,
62,1.56966E+18,13/09/2022 11:55,0,0,crispshorepro,8,
63,1.56966E+18,13/09/2022 11:55,0,0,crispshorepro,6,
64,1.56966E+18,13/09/2022 11:54,0,0,crispshorepro,6,
65,1.57042E+18,15/09/2022 14:34,0,0,crispfox,41457,
66,1.57042E+18,15/09/2022 14:34,0,0,zenithmoor33,4060,
67,1.57042E+18,15/09/2022 14:34,0,0,crispfox,44859,
68,1.57042E+18,15/09/2022 14:34,0,2865,novafen24,265,harborfalcontv
69,1.57042E+18,15/09/2022 14:33,0,2561,birchvaleio,728,harborfalcontv
70,1.57042E+18,15/09/2022 14:32,0,3006,lunarjetty_,88,harborfalcontv
71,1.57042E+18,15/09/2022 14:32,0,2,frosttern360,2562,urbanravenlab
72,1.57042E+18,15/09/2022 14:32,0,2509,frostravenhq,38,harborfalcontv
73,1.57042E+18,15/09/2022 14:31,0,1,bravejetty17,3357,lunarheronio
74,1.57042E+18,15/09/2022 14:31,0,2798,frostnookx24,346,harborfalcontv
75,1.57042E+18,15/09/2022 14:30,0,0,bravemartenco,3944,
76,1.57042E+18,15/09/2022 14:30,0,0,ridgenook80,1072,
77,1.57042E+18,15/09/2022 14:29,0,1,frosttern360,2725,swiftwrenx
78,1.57042E+18,15/09/2022 14:28,0,1,frosttern360,2493,swiftwrenx
79,1.57042E+18,15/09/2022 14:28,0,2510,glidedriftau,358,harborfalcontv
80,1.57042E+18,15/09/2022 14:28,0,9861,glidemoornet47,527,vertextrailnet
81,1.57042E+18,15/09/2022 14:28,2,3,lunarheronio,12382,
82,1.57042E+18,15/09/2022 14:27,0,477,willowfalcon43,1046,bravevolelive
83,1.57042E+18,15/09/2022 14:27,0,2622,zenithwrenlive72,1384,harborfalcontv
84,1.57042E+18,15/09/2022 14:27,2,0,pixelvale71,193,
85,1.57042E+18,15/09/2022 14:27,7,2,coralheron,10946601,
86,1.57042E+18,15/09/2022 14:27,0,0,echolynx,423,
87,1.57042E+18,15/09/2022 14:26,0,0,novalynx_29,69,
88,1.57042E+18,15/09/2022 14:26,0,0,ridgesableau,0,
89,1.57042E+18,15/09/2022 14:26,0,1300,urbanledge3602,169,umbertrailx
90,1.57042E+18,15/09/2022 14:25,0,2764,onyxvolehq,156,harborfalcontv
91,1.57042E+18,15/09/2022 14:24,0,2723,duneyakau,6627,ivorymoor_
92,1.57042E+18,15/09/2022 14:23,0,0,quartzfoxlab,0,
93,1.57042E+18,15/09/2022 14:23,0,2576,lumendellco,3378,harborfalcontv
94,1.57042E+18,15/09/2022 14:19,1,0,onyxtrail43,0,
95,1.57042E+18,15/09/2022 14:18,0,9831,frostarctv,14538,vertextrailnet
96,1.57042E+18,15/09/2022 14:18,0,0,orbitdell_41,0,
97,1.57042E+18,15/09/2022 14:17,0,2590,lumenlynx360,7164,harborfalcontv
98,1.57042E+18,15/09/2022 14:17,0,283,vertexinletlab,518,tundraquay24
99,1.57042E+18,15/09/2022 14:16,0,0,willowfenpro,6,
100,1.57042E+18,15/09/2022 14:15,0,552,quartzbeaconlab,4284,bravevolelive
101,1.57042E+18,15/09/2022 14:12,1,0,jadeospreyau,0,
102,1.57041E+18,15/09/2022 14:10,0,167,duneospreyone,83,ivoryvalelab
103,1.57041E+18,15/09/2022 14:10,0,2567,lunarshorelab,508,harborfalcontv
104,1.57041E+18,15/09/2022 14:09,0,2566,frostzephyrx,112,harborfalcontv
105,1.57041E+18,15/09/2022 14:09,0,103,lumenvaletv,2702,umberpierplus
106,1.57041E+18,15/09/2022 14:08,0,2973,frostbeacon12,241,ivorybayco
107,1.57041E+18,15/09/2022 14:08,0,0,swiftyakco,23,
108,1.57041E+18,15/09/2022 14:07,0,0,ivorywren24,46,
109,1.57041E+18,15/09/2022 14:07,0,17,tundratrailhq,355,ridgedell
110,1.57041E+18,15/09/2022 14:06,0,3,glidedriftplus,760,pixelternone
111,1.57041E+18,15/09/2022 14:05,0,14,atlasottertv27,154,ridgedell
